46.209.121.210:443 S=16 0ms TTFB=697 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 0.5 0
213.176.6.146:2083 S=15 200ms TTFB=513 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
213.176.6.146:2087 S=15 200ms TTFB=519 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
213.176.6.146:2096 S=15 200ms TTFB=515 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
213.176.6.82:443 S=15 200ms TTFB=672 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
213.176.6.90:443 S=15 200ms TTFB=680 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
213.176.6.122:443 S=15 200ms TTFB=650 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
46.209.148.254:8443 S=15 200ms TTFB=689 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.127:2083 S=15 200ms TTFB=548 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.63:8443 S=15 200ms TTFB=495 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.149:8443 S=15 200ms TTFB=505 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.20:443 S=15 200ms TTFB=521 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.186:443 S=15 200ms TTFB=667 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
193.111.236.141:8443 S=15 200ms TTFB=695 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.127:2087 S=15 200ms TTFB=526 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
185.84.158.201:443 S=15 200ms TTFB=569 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
213.176.6.182:443 S=15 200ms TTFB=503 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
46.209.191.8:443 S=15 200ms TTFB=526 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
46.209.191.9:443 S=15 200ms TTFB=611 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.35:443 S=15 200ms TTFB=554 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.35:2083 S=15 200ms TTFB=548 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.35:2087 S=15 200ms TTFB=558 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.92:443 S=15 200ms TTFB=563 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.108:2083 S=15 200ms TTFB=605 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.108:2087 S=15 200ms TTFB=590 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.108:2096 S=15 200ms TTFB=576 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.32:443 S=15 200ms TTFB=532 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.130:2096 S=15 200ms TTFB=599 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
91.186.193.133:2096 S=15 200ms TTFB=610 PROTO=http/1.1 REL=1.0 CDN=http/1.1 ALPN=unknown 1.0 0
